image#0#0	caption
242109387_e497277e07#2	boy jumping in moonwalk
242109387_e497277e07#3	kid takes flight inside multicolored balloon bounce house
242109387_e497277e07#4	young boy jumping in jumping castle
2421446839_fe7d46c177#0	dog jumps up towards woman in car while another dog is outside the car
2421446839_fe7d46c177#1	an orange dog and little white dog with black spots are next to white car
2421446839_fe7d46c177#2	small black and white dog jumps at woman in white jeep while golden dog follows beside them
2421446839_fe7d46c177#3	small dog jumps by car to reach lady face while another dog watches
2421446839_fe7d46c177#4	white and black dog jumps at someone through car window
2422018883_336519b5c6#0	baby in white and pink dress walks outside
2422018883_336519b5c6#1	little girl wears white dress and pink flip flops
2422018883_336519b5c6#2	small toddler girl in white dress walking
2422018883_336519b5c6#3	young asian girl wearing dress running
2422018883_336519b5c6#4	young asian girl wearing flip flops and flowered sundress runs down the street
2422302286_385725e3cf#0	child sits in plastic toy car
2422302286_385725e3cf#1	little kid in toy car
2422302286_385725e3cf#2	small girl riding in play car
2422302286_385725e3cf#3	there is child in red and yellow toy car
2422302286_385725e3cf#4	the small child is sitting in red and yellow toy car
2422482455_b98d9c2120#0	man in an orange shirt plays fetch with black french poodle
2422482455_b98d9c2120#1	person in an orange coat prepares to throw stick to black dog
2422482455_b98d9c2120#2	person playing with her large black dog
2422482455_b98d9c2120#3	woman holding stick out for dog
2422482455_b98d9c2120#4	woman in orange jacket playing with black dog
2423085253_6c19149855#0	child running outside with bright colored ball next to her
2423085253_6c19149855#1	little girl in red and white shirt is playing with inflatable ball
2423085253_6c19149855#2	little girl is running by colorful ball on the grass
2423085253_6c19149855#3	little girl running in the grass kicking beach ball
2423085253_6c19149855#4	the girl is running on the grass next to colorful toy
2423138514_950f79e432#0	two naked boys at pool
2423138514_950f79e432#1	two naked boys smiling and playing
2423138514_950f79e432#2	two naked children one with mark on his chest
2423138514_950f79e432#3	two naked young boys play in the water
2423138514_950f79e432#4	two young naked boys are wet while one raises his arm
242324909_06d5a6c44b#0	dachshund going for walk
242324909_06d5a6c44b#1	little brown dog walks on the sidewalk with its tongue sticking out
242324909_06d5a6c44b#2	little brown dog with blue collar is being walked along path
242324909_06d5a6c44b#3	small brown dog is pulling on its blue and white leash while on walk
242324909_06d5a6c44b#4	small brown dog on leash
2423292784_166ee54e0b#0	boy with metal colander on his head
2423292784_166ee54e0b#1	little boy clowns with colander on his head
2423292784_166ee54e0b#2	mad boy who has bowl on his head
2423292784_166ee54e0b#3	young boy wears metal colander on his head
2423292784_166ee54e0b#4	this boy in the striped shirt is putting strainer on top of his head
2423550887_ffc9bbcf71#0	man in red coat stands in front of lighthouse surrounded by stone wall
2423550887_ffc9bbcf71#1	man in red jacket is standing in front of tall white building
2423550887_ffc9bbcf71#2	female in red jacket standing in front of white tower surrounded by rocks
2423550887_ffc9bbcf71#3	girl in red jacket poses for picture in front of white lighthouse
2423550887_ffc9bbcf71#4	man in red jacket standing in front of lighthouse
2423856014_8df0e7f656#0	child standing in the grass with their arms spread wide
2423856014_8df0e7f656#1	small child in yellow shirt is holding their arms out to the sides
2423856014_8df0e7f656#2	young boy with long curly hair walks outside with his arms spread
2423856014_8df0e7f656#3	young child wearing green shirt with his arms wide open
2423856014_8df0e7f656#4	youngster playing in the park
2423894412_d952d5d103#0	guy is hanging on big rock in the woods
2423894412_d952d5d103#1	large rock formation in the middle of forest
2423894412_d952d5d103#2	man hangs from the edge of rock
2423894412_d952d5d103#3	person hangs of the vertical side of gigantic rocks in wooded area
2423894412_d952d5d103#4	this appears to be woman posing near large mosscovered rock outcropping
2424111022_4e332b8aee#0	boy in the woods
2424111022_4e332b8aee#1	boy wearing white shirt climbs on forest hill
2424111022_4e332b8aee#2	little boy in blue jeans climbs small incline in the woods and turns around to smile
2424111022_4e332b8aee#3	smiling boy kneeling in forest
2424111022_4e332b8aee#4	young boy smiling in the woods
2424398046_1a55c71376#0	little boy in black shirt is holding red guitar
2424398046_1a55c71376#1	little boy is playing miniature guitar and making face
2424398046_1a55c71376#2	little boy rocks out with his small guitar
2424398046_1a55c71376#3	toddler plays the guitar and pretends to be rock star
2424398046_1a55c71376#4	young boy is playing red guitar
2424976964_98f58a0618#0	five young people on the street two sharing bicycle
2424976964_98f58a0618#1	several young people two on bike are walking near parked vehicles
2424976964_98f58a0618#2	three girls carrying large handbags are walking down the sidewalk
2424976964_98f58a0618#3	three women walk down city street as seen from above
2424976964_98f58a0618#4	three young woman walking down sidewalk looking up
2425262733_afe0718276#0	kid wearing brown hoodie doing an ollie
2425262733_afe0718276#1	man in hoodie skateboards in front of blue sky and building shot from below
2425262733_afe0718276#2	skateboarder jumps midair near building
2425262733_afe0718276#3	skateboarder making jump
2425262733_afe0718276#4	man with jeans and hooding doing skateboarding tricks
242558556_12f4d1cabc#0	blonde woman with her hair up is taking off white sweatshirt
242558556_12f4d1cabc#1	blond haired lady in white poses for the camera
242558556_12f4d1cabc#2	girl with white sweatshirt and blond hair is smiling
242558556_12f4d1cabc#3	woman poses for picture outdoors
242558556_12f4d1cabc#4	woman with blonde hair is smiling and putting on white sweater
242559369_9ae90ed0b4#0	naked woman is taking dip in an isolated rocky pool
242559369_9ae90ed0b4#1	naked woman kneels on the rocks of shallow stream
242559369_9ae90ed0b4#2	naked woman steps into the water
242559369_9ae90ed0b4#3	nude woman submerges herself in natural pool
242559369_9ae90ed0b4#4	woman wearing body suit standing on some large rocks with green hill in the background
2426215757_e008a91fcb#0	girl waterskis on an autumn day
2426215757_e008a91fcb#1	person is waterskiing in lake near autumn colored trees
2426215757_e008a91fcb#2	person on waterski
2426215757_e008a91fcb#3	waterskier being pulled dressed for the cold with life jacket on
2426215757_e008a91fcb#4	young person is wakeboarding off the back of water vehicle
2426303900_0a8d52eb14#0	two children in the bathtub with an umbrella
2426303900_0a8d52eb14#1	two children with yellow and blue umbrella play in the bathtub
2426303900_0a8d52eb14#2	two kids are taking bath with an umbrella
2426303900_0a8d52eb14#3	two little kids are in bathtub with yellow and blue umbrella
2426303900_0a8d52eb14#4	two young children under blue and yellow umbrella
2426724282_237bca30b5#0	dog in field jumps for frisbee
2426724282_237bca30b5#1	small black and white jumping to catch something in its mouth
2426724282_237bca30b5#2	small white dog with his tongue out is jumping up to catch toy
2426724282_237bca30b5#3	white dog is jumping up in the air to catch frisbee
2426724282_237bca30b5#4	white dog with dark markings jumping to catch an object
2426781076_e3f4d2685c#0	boy speeding down steep slide
2426781076_e3f4d2685c#1	boy wearing all black is sliding down blow up yellow slide
2426781076_e3f4d2685c#2	kid in black going down an inflatbale slide
2426781076_e3f4d2685c#3	boy sliding down slide on his knees
2426781076_e3f4d2685c#4	the boy is coming down the amusement slide on his knees
2426828433_ce894d1c54#0	three black dogs on grass
2426828433_ce894d1c54#1	three black dogs play in the glass
2426828433_ce894d1c54#2	three black dogs play in the grass
2426828433_ce894d1c54#3	three dogs run through the grass
2426828433_ce894d1c54#4	three large black dogs are playing in the grass
2427490900_5b7a8874b9#0	group of people sit on both sides of red stone structure
2427490900_5b7a8874b9#1	group of people sitting on the ground outside of monument
2427490900_5b7a8874b9#2	group of people sit together near the stairs of monument
2427490900_5b7a8874b9#3	many people sit at the base of large marble archway engraved with names
2427490900_5b7a8874b9#4	people sit on both sides of memorial
2427558437_3e839056d7#0	big dog and little dog stand near each other near the water
2427558437_3e839056d7#1	large brown dog and small brown dog are standing near each other beside body of water
2427558437_3e839056d7#2	the two dogs are walking past each other on beach
2427558437_3e839056d7#3	two brown dogs together standing on the bank of lake
2427558437_3e839056d7#4	two dogs pass each other near some water
2428086758_bce4733f7e#0	big brown dog sniffs smaller dog in the gravel beside body of water
2428086758_bce4733f7e#1	big dog stiffing smaller dog near the edge of river
2428086758_bce4733f7e#2	large dog stands with smaller dog near the edge of the water
2428086758_bce4733f7e#3	red dog looks at brown dog on dirt path next to lake
2428086758_bce4733f7e#4	the big dog is checking out the smaller dog
2428094795_d3a8f46046#0	child in fuzzy blue hat on tricycle
2428094795_d3a8f46046#1	little girl with purple fuzzy hat is riding tricycle outside
2428094795_d3a8f46046#2	little girl with purple hat is riding tricycle along paved road by some farmland
2428094795_d3a8f46046#3	young girl in blue hat and coat is riding tricycle
2428094795_d3a8f46046#4	little kid in blue coat and hat riding tricycle
2428275562_4bde2bc5ea#0	
2428275562_4bde2bc5ea#1	black and white dog is climbing down hill
2428275562_4bde2bc5ea#2	black and white dog is sliding down sandy hill
2428275562_4bde2bc5ea#3	black and white dog wearing red collar is digging in the dirt
2428275562_4bde2bc5ea#4	black dog running on sand mound
2428751994_88a6808246#0	black and white dog runs over the green grass
2428751994_88a6808246#1	brown and white dog is running on the grass
2428751994_88a6808246#2	dog running on the grass
2428751994_88a6808246#3	dog runs in field
2428751994_88a6808246#4	smiling dog runs in the grass
2428797297_7fc3c862db#0	two dogs are playing tug of war with green toy
2428797297_7fc3c862db#1	two dogs fight over green stuffed toy
2428797297_7fc3c862db#2	two dogs holding green and orange toy between them
2428797297_7fc3c862db#3	two dogs one brown and white the other black and white play tugofwar with green toy
2428797297_7fc3c862db#4	two dogs sharing toy
2428959030_bdffc2812e#0	boy rides his skateboard up an incline next to fence
2428959030_bdffc2812e#1	teenage boy skateboards by fence
2428959030_bdffc2812e#2	teenager is riding skateboard alongside metal fence
2428959030_bdffc2812e#3	young man with black striped shirt on skateboarding on wall
2428959030_bdffc2812e#4	boy skateboarding on ledge
2429212017_77fc107699#0	the children in the scene are in petting zoo and are acting like duck or chicken
2429212017_77fc107699#1	two children play in yard with farm animals
2429212017_77fc107699#2	two children playing around farm animals
2429212017_77fc107699#3	two children playing in fenced in grassy area with farm animals
2429212017_77fc107699#4	two kids playing in yard with some farm animals
2429272699_8a9699775e#0	man in striped scarf walking down the sidewalk
2429272699_8a9699775e#1	man in black with scarf walks down street
2429272699_8a9699775e#2	man walks down the street
2429272699_8a9699775e#3	man wearing black walks down the street
2429272699_8a9699775e#4	young man wearing jeans and jacket walking down street
2429729667_42effc165d#0	girl has her head in wooden cut out of pirate ship while people throw tomatos
2429729667_42effc165d#1	little girl throws an object at man who is standing behind cutout of sailor on ship
2429729667_42effc165d#2	young boy and girl are trying to hit man with balls in fair game
2429729667_42effc165d#3	children are throwing food at someone as part of an amusement park game
2429729667_42effc165d#4	children watching play
2429978680_1e18a13835#0	brown and white dog attempts to catch dirty tennis ball in dirt field
2429978680_1e18a13835#1	dog is catching ball
2429978680_1e18a13835#2	dog is running and catching ball
2429978680_1e18a13835#3	dog is running on the sand whilst chasing ball
2429978680_1e18a13835#4	dog with its mouth wide open to catch ball in the sand
2430860418_fd0726f414#0	dog running in the sand
2430860418_fd0726f414#1	white dog is running on sand
2430860418_fd0726f414#2	white dog running on dirt field
2430860418_fd0726f414#3	the white dog with pointed ears is running on the dirt
2430860418_fd0726f414#4	two white dogs outside on sunny day
2431120202_b24fe2333a#0	girl crosscountry skis
2431120202_b24fe2333a#1	girl on skis in snow
2431120202_b24fe2333a#2	little girl wearing purple winter coat and sunglasses skiing in the snow
2431120202_b24fe2333a#3	little girl on skis
2431120202_b24fe2333a#4	the young girl is crosscountry skiing
2431470169_0eeba7d602#0	man sitting at an outside table eating lunch marking on paper
2431470169_0eeba7d602#1	single man sitting at round table reading outside of shop
2431470169_0eeba7d602#2	man reading newspaper at an outdoors restaurant
2431470169_0eeba7d602#3	man reading in chair outside
2431470169_0eeba7d602#4	the man is taking notes at the table
2431723485_bc6b8e6418#0	biker bikes through the woods
2431723485_bc6b8e6418#1	girl on bike is wearing backpack and helmet and riding through wooded area
2431723485_bc6b8e6418#2	mountain biker rides in the woods
2431723485_bc6b8e6418#3	woman rides her bike by some trees
2431723485_bc6b8e6418#4	woman wearing black helmet riding on bike
2431832075_00aa1a4457#0	girl bouncing on colorful sheet
2431832075_00aa1a4457#1	girl in bounce house
2431832075_00aa1a4457#2	girl playing on parachute
2431832075_00aa1a4457#3	the little girl is playing with her shoes off
2431832075_00aa1a4457#4	this girl is playing on an object which is yellow green red and blue
2432038587_5e4148e277#0	black dog chasing geese
2432038587_5e4148e277#1	dog chases two geese
2432038587_5e4148e277#2	dog chasing geese in an open field
2432038587_5e4148e277#3	large black dog is chasing two geese in field
2432038587_5e4148e277#4	dog runs after two geese in field
2432061076_0955d52854#0	brown dog runs through the water on beach
2432061076_0955d52854#1	dog in the water near the beach with an urban horizon behind
2432061076_0955d52854#2	dog running in the surf
2432061076_0955d52854#3	tan and white dog running in water
2432061076_0955d52854#4	the large brown and white dog splashes on the shore
2432709509_2a4d0c833f#0	child is crying in low cut field with drainage pipe nearby
2432709509_2a4d0c833f#1	child is sitting on the grass by concrete storm drain
2432709509_2a4d0c833f#2	young boy sitting is field with drain pipe in the background
2432709509_2a4d0c833f#3	baby by sewer drain cries
2432709509_2a4d0c833f#4	the young child is sitting on the grass in park
2433175169_da939372f2#0	man is standing on stone structure with his arms out like bird
2433175169_da939372f2#1	man standing on concrete platform with his arms wide open
2433175169_da939372f2#2	man standing on rock with outstretched hands
2433175169_da939372f2#3	man with outstretched arms standing on stone base
2433175169_da939372f2#4	the man is standing on stone stump on top of hill with his arms outstretched
2434006663_207a284cec#0	brown dog is chasing black dog on the sand
2434006663_207a284cec#1	dog holding stick running in the sand chased by grey dog
2434006663_207a284cec#2	two dogs fetch sticks in the snow next to the tree line
2434006663_207a284cec#3	two dogs running near line of tall trees
2434006663_207a284cec#4	two dogs running through sand
2434074318_e35a567220#0	male hiker wearing brown hat is standing next to triangular monument on the top of mountain
2434074318_e35a567220#1	man stands at the peak of mountain and has his hand on monument
2434074318_e35a567220#2	man stands near statue on mountaintop
2434074318_e35a567220#3	man stands on peak near statue
2434074318_e35a567220#4	man with hat stands next to pyramidshaped monument on cliff
2435166927_28b8130660#0	girl in gray shit is throwing her hands up
2435166927_28b8130660#1	girl in grey shirt puts her hands over her head in gesture
2435166927_28b8130660#2	young dark haired girl with her hands raised over her head
2435166927_28b8130660#3	young girl in grey illustrated shirt is holding her hands over her head
2435166927_28b8130660#4	young girl raises her arms over her head in front of couple of other people in the park
2435685480_a79d42e564#0	girl wearing brown cap red sneakers and dark green coat sits on rock bench
2435685480_a79d42e564#1	hiker in jacket and knit cap sits with backpack on atop stone with cloudy sky in the background
2435685480_a79d42e564#2	woman in knit cap and green coat its on stone block looking out
2435685480_a79d42e564#3	woman with her backpack sits on large rock and looks down over the mountains
2435685480_a79d42e564#4	the lady is sitting on rock
2436081047_bca044c1d3#0	girl dismounts from swing as high as she can and lands on the rubber tiles below
2436081047_bca044c1d3#1	girl in pink shirt jumping out of moving swing
2436081047_bca044c1d3#2	little girl wearing pink shirt jumps off swing
2436081047_bca044c1d3#3	young girl jumps off playground swing
2436081047_bca044c1d3#4	the young girl in the pink shirt and blue jeans is jumping off the tire swing
2436160351_108924a65b#0	one boy rides tricycle while another walks beside him
2436160351_108924a65b#1	two indian children walk and ride bikes down the street
2436160351_108924a65b#2	two little boys in yellow shirts and red shorts
2436160351_108924a65b#3	two small boys are wearing red shorts and yellow sleeveless shirts
2436160351_108924a65b#4	two young children with red dots are their foreheads are both wearing yellow shirts and red shorts and one is riding red tricycle
2436398074_8737f40869#0	black dog bites at stream of water on the grass
2436398074_8737f40869#1	black dog is being squirted with jet of water
2436398074_8737f40869#2	dog drinks from sprinkler
2436398074_8737f40869#3	dog drinks water outside on the grass
2436398074_8737f40869#4	the dog tries to bite the water coming out of the sprinkler
2437266971_b91a8f9a00#0	man hands out fliers while wearing mask
2437266971_b91a8f9a00#1	man in blue shirt and tie is wearing white mask whilst handing out papers
2437266971_b91a8f9a00#2	man in button up shirt and tie is wearing smiling mask
2437266971_b91a8f9a00#3	masked man in blue shirt and tie holding papers in front of him
2437266971_b91a8f9a00#4	man in business attire with guy fawkes mask holding paper at protest
2438085746_588dce8724#0	black and white dog catc
2438085746_588dce8724#1	black and white dog is playing with frisbee outside
2438085746_588dce8724#2	black and white dog jumps to catch the green frisbee
2438085746_588dce8724#3	black and white dog leaps to catch frisbee in field
2438085746_588dce8724#4	small black and white dog jumping on the grass to catch frisbee
2439031566_2e0c0d3550#0	couple riding bike
2439031566_2e0c0d3550#1	couple riding down the street on motorcycle
2439031566_2e0c0d3550#2	man and woman sitting on motorcycle
2439031566_2e0c0d3550#3	man sits on motorcycle and woman is on the back
2439031566_2e0c0d3550#4	two people ride together on black motorcycle
2439154641_bbf985aa57#0	man in gray shirt jumps in the air
2439154641_bbf985aa57#1	man in shorts and tshirt is jumping in front of desert landscape
2439154641_bbf985aa57#2	man jumping
2439154641_bbf985aa57#3	man jumping in front of mountain
2439154641_bbf985aa57#4	man wearing gray shirt jumps through the air with mountains in the background
2439384468_58934deab6#0	two black and brown dobermans running in field playing ball
2439384468_58934deab6#1	two black and brown dogs are running through field
2439384468_58934deab6#2	two doberman run through field while one of them holds tennis ball in its mouth
2439384468_58934deab6#3	two dogs run around together in the field
2439384468_58934deab6#4	two large black dogs one with ball in its mouth are running through tall grass
2439813616_c9ac54cc9f#0	boy skateboards up concrete ramp
2439813616_c9ac54cc9f#1	man does tricks on his skateboard off ramp
2439813616_c9ac54cc9f#2	skateboarder wearing red plaid shirt does trick off of concrete ramp
2439813616_c9ac54cc9f#3	its distorted lens almost fish eye of teenage boy skateboarding on concrete block
2439813616_c9ac54cc9f#4	skateboard rider balancing on rock on his skateboard
2441313372_6a1d59582b#0	boy sleeps in hospital bed while wearing cast on his arm
2441313372_6a1d59582b#1	boy wearing an arm cast lying in hospital bed
2441313372_6a1d59582b#2	boy with an injured right arm and wearing blue shorts is lying on bed with towel
2441313372_6a1d59582b#3	young boy with broken arm sleeping in hospital bed
2441313372_6a1d59582b#4	young boy with cast on his arm is lying on hospital bed
2441354291_b32e00e5a6#0	child in green shoes is splashing in puddle
2441354291_b32e00e5a6#1	child is walking through puddle wearing green sandals
2441354291_b32e00e5a6#2	young child wearing green boots playing in mud puddle
2441354291_b32e00e5a6#3	the child is running through puddle in street
2441354291_b32e00e5a6#4	the little boy is jumping into puddle on the street
2441629086_52f68eb316#0	girl is peeking in window
2441629086_52f68eb316#1	girl peers into window
2441629086_52f68eb316#2	girl peers into window
2441629086_52f68eb316#3	little girl is trying to look into dark window
2441629086_52f68eb316#4	small girl in pink shirt and blue jeans is peeping through window into house
2441815792_43565b1312#0	group of people gather for picture while woman stands on post and takes the picture
2441815792_43565b1312#1	group of people having their picture taken
2441815792_43565b1312#2	group of people outside having their picture taken
2441815792_43565b1312#3	person standing on pillar taking group photo
2441815792_43565b1312#4	woman stands on concrete block taking picture of group of people on sidewalk beside the road
2442243868_abe8f74fb4#0	brown dog chasing yellow toy
2442243868_abe8f74fb4#1	brown dog lunges for yellow toy
2442243868_abe8f74fb4#2	dog chases toy
2442243868_abe8f74fb4#3	dog prepares to bite yellow dog toy
2442243868_abe8f74fb4#4	tan dog wearing blue collar is playing with an orange toy
2443229844_277cded27d#0	child in bright blue sweatshirt playing in the woods with red wagon
2443229844_277cded27d#1	child wearing blue sweatshirt makes funny face standing next to wagon
2443229844_277cded27d#2	girl in forest carries metal bowl towards red wagon
2443229844_277cded27d#3	kid playing outside with wagon
2443229844_277cded27d#4	young boy is playing in the yard
2443380641_7b38d18f5b#0	child in an orange shirt holding baseball bat watches the ball thrown at him
2443380641_7b38d18f5b#1	little league game in action
2443380641_7b38d18f5b#2	young boy is getting ready to hit baseball
2443380641_7b38d18f5b#3	young man wearing yellow shirt and baseball helemt swinging bat
2443380641_7b38d18f5b#4	boy in yellow shirt getting ready to hit orange ball with baseball bat
2443512473_6f5a22eb42#0	black and white agility dog weaving between poles
2443512473_6f5a22eb42#1	black and white dog running between poles
2443512473_6f5a22eb42#2	black and white dog weaves between metal bars
2443512473_6f5a22eb42#3	competition dog running between poles
2443512473_6f5a22eb42#4	dog weaving through an obstacle course
244368383_e90b6b2f20#0	crowd of people are socializing
244368383_e90b6b2f20#1	crowd of scantily clad people at an outdoor festival
244368383_e90b6b2f20#2	large crowd of people
244368383_e90b6b2f20#3	large group of people fill the picture which is taken from above
244368383_e90b6b2f20#4	many people standing around listening to music
244399048_8332bb3270#0	blurry dog inside on carpet
244399048_8332bb3270#1	dog is jumping up in the air to catch toy
244399048_8332bb3270#2	dog standing up on two legs with something in his mouth
244399048_8332bb3270#3	dog jumping up with something in its mouth
244399048_8332bb3270#4	the furry brown and white dog is jumping around near door
2444134813_20895c640c#0	group of muzzled greyhound dogs jumping over wall
2444134813_20895c640c#1	four dogs jumping over hurdle
2444134813_20895c640c#2	many dogs jump over fence
2444134813_20895c640c#3	the dogs are racing
2444134813_20895c640c#4	the dogs jump over an obstacle at an event
2444339090_bf7b3211f4#0	black and white dog running through some red and white poles
2444339090_bf7b3211f4#1	black and white dog runs through pole obstacles
2444339090_bf7b3211f4#2	white dog moving through red and white checkered poles
2444339090_bf7b3211f4#3	white dog with black patch goes through an obstacle
2444339090_bf7b3211f4#4	the white dog is running through white posts on an obstacle course
244443352_d7636e1253#0	brown dog has his face down in the snow
244443352_d7636e1253#1	brown dog in red collar is diving into the snow
244443352_d7636e1253#2	brown dog wearing red collar diving into snow
244443352_d7636e1253#3	dog in the snow
244443352_d7636e1253#4	yellow dog with red bandanna fallen through the crust of the snow
2444741900_5cb3ef3e1d#0	bunch of people are standing or sitting in snow valley
2444741900_5cb3ef3e1d#1	number of people standing and laying under mountain covered in snow
2444741900_5cb3ef3e1d#2	sledding and skiing enthusiasts gather at snowy rock formation
2444741900_5cb3ef3e1d#3	snow skiers gather at the bottom of snowy hill
2444741900_5cb3ef3e1d#4	some people hanging out in the snow
2444821454_22a346c996#0	black and white dog is in the grass with red striped disk
2444821454_22a346c996#1	black and white dog jumping in the grass after frisbee
2444821454_22a346c996#2	black and white dog jumps in the air near red frisbee
2444821454_22a346c996#3	dog is on his hind legs and frisbee is near the ground
2444821454_22a346c996#4	dog jumping for frisbee in field
2444935470_7b0226b756#0	little boy is standing alone in the wooded park
2444935470_7b0226b756#1	young child is standing in front of some trees
2444935470_7b0226b756#2	young child with orange sleeves stands alone in the woods
2444935470_7b0226b756#3	small boy in forest
2444935470_7b0226b756#4	the little boy poses in the garden
2445283938_ff477c7952#0	group of girls sit back to back
2445283938_ff477c7952#1	group of girls sitting in circle
2445283938_ff477c7952#2	little girl in bare feet sitting in circle
2445283938_ff477c7952#3	little girls sitting in circle on wooden floor surrounded by observer area
2445283938_ff477c7952#4	the young girls sat in circle on the wood floor
2445442929_8c81d42460#0	man in checked shirt is sitting at table looking back at group of people behind him
2445442929_8c81d42460#1	man sits at table outdoors and watches people
2445442929_8c81d42460#2	man sits at table outside and looks toward the horizon
2445442929_8c81d42460#3	man sits at wooden table and looks away to crowd of people
2445442929_8c81d42460#4	man sitting at picnic table with tray and partially consumed beer in front of him
2445654384_4ee3e486e1#0	man holding girl at top of slide
2445654384_4ee3e486e1#1	man in black shirt is holding child wearing sunglasses
2445654384_4ee3e486e1#2	man in sunglasses is holding child at the top of slide
2445654384_4ee3e486e1#3	man with sunglasses is helping child with sunglasses slide down slide
2445654384_4ee3e486e1#4	person helping small baby down blue slide
244571201_0339d8e8d1#0	bunch of dogs and kids playing in swimming pool
244571201_0339d8e8d1#1	dogs and people play in pool
244571201_0339d8e8d1#2	five dogs are swimming and four people are wading together inside dog park pool
244571201_0339d8e8d1#3	people and several dogs in swimming pool in park like setting
244571201_0339d8e8d1#4	several people and dogs are in or near large outdoor swimming pool
2445783904_e6c38a3a3d#0	dog nose to the ground walks in grassy field
2445783904_e6c38a3a3d#1	dog with red collar is walked on field
2445783904_e6c38a3a3d#2	grey dog walking on leash in some grass
2445783904_e6c38a3a3d#3	brown dog on leash is sniffing the ground in field of grass
2445783904_e6c38a3a3d#4	the large brown dog with the red collar is in the grass
2446315531_7c9704eec0#0	two brown dog grapple each other in sandy area
2446315531_7c9704eec0#1	two brown dogs are biting each other
2446315531_7c9704eec0#2	two brown dogs are wrestling with each other on some wasteland
2446315531_7c9704eec0#3	two brown dogs biting each other on sand
2446315531_7c9704eec0#4	two tan colored dogs playing
2446601467_a35841cb1d#0	baby is peeking his head over blue playpen
2446601467_a35841cb1d#1	baby is peeking over the top of blue playpen
2446601467_a35841cb1d#2	baby looks out over the edge of its playpen
2446601467_a35841cb1d#3	baby peeking out from inside her cot
2446601467_a35841cb1d#4	small child is standing in his blue and aqua playpen and all you see if from his eyes up
2447035752_415f4bb152#0	people in or near water with trees in the background
2447035752_415f4bb152#1	people lounge in man made pool next to river
2447035752_415f4bb152#2	seven people are wading in natural pool
2447035752_415f4bb152#3	some people are sitting in watery pool beside the river
2447035752_415f4bb152#4	there are people in swimming pool next to river
2447284966_d6bbdb4b6e#0	little boy is holding skinny baseball bat while standing between two rows of blue seats
2447284966_d6bbdb4b6e#1	small boy dressed in black sweatshirt with logo on it holds red bat in front of blue stadium seats
2447284966_d6bbdb4b6e#2	young boy in team sweatshirt is in sports stadium near blue seats swinging red bat
2447284966_d6bbdb4b6e#3	young boy practices his bat swing while in the stands with blue seats
2447284966_d6bbdb4b6e#4	the boy wearing black shirt and blue jeans is holding red baseball bat
2447289477_e888df561d#0	woman in jeans rests on bench in gallery or shop setting
2447289477_e888df561d#1	woman wearing blue shirt sits on white bench
2447289477_e888df561d#2	the lady in the aqua shirt and blue jeans is sitting on white bench
2447289477_e888df561d#3	the woman in the blue shirt sits on bench in museum as others pass her by
2447289477_e888df561d#4	woman sitting alone with drink on bench as people walk by
244760289_f4467b2b67#0	three men standing in the tide at beach
244760289_f4467b2b67#1	three men stand on the beach fully clothed
244760289_f4467b2b67#2	three men wade into the ocean shore
244760289_f4467b2b67#3	three people in jackets at rocky beach
244760289_f4467b2b67#4	three people on beach
244760301_5809214866#0	group of men wearing similar clothing backpacks through the countryside
244760301_5809214866#1	group of people in matching outfits hiking up trail with one person lagging behind
244760301_5809214866#2	group of scouts are hiking through the grass
244760301_5809214866#3	people walking
244760301_5809214866#4	several hikers walking along rocky path
244774022_a12c07afdb#0	longhaired man surfing large wave
244774022_a12c07afdb#1	man in black on surfboard riding wave
244774022_a12c07afdb#2	man surfing in the ocean
244774022_a12c07afdb#3	surfer showered in the spray of wave
244774022_a12c07afdb#4	man riding surfboard on wave
2447972568_1e9b287691#0	girl flies through the air as man stands with his arms outstretched
2447972568_1e9b287691#1	man is throwing girl into the air
2447972568_1e9b287691#2	man throws child into the air
2447972568_1e9b287691#3	man tosses child in camouflage into the air
2447972568_1e9b287691#4	man with closecropped haircut is waiting to catch child that he has thrown into the air
2448210587_9fe7ea5f42#0	an elderly woman sits on tree stump with white dog
2448210587_9fe7ea5f42#1	an old woman with white dog
2448210587_9fe7ea5f42#2	white bulldog sitting on tree stump gives paw to an older woman wearing black jacket
2448210587_9fe7ea5f42#3	woman and dog sit on tree stump
2448210587_9fe7ea5f42#4	there is an older white haired lady and bulldog sitting on tree stump
2448270671_5e0e391a80#0	brown dog is leaping over fallen tree in the woods
2448270671_5e0e391a80#1	brown dog with tongue sticking out jumping over log
2448270671_5e0e391a80#2	dog is jumping over log with ears flying and tongue out
2448270671_5e0e391a80#3	dog leaps over log in the woods
2448270671_5e0e391a80#4	the dog with big ears is leaping over fallen tree
2448393373_80c011d301#0	boy plays baseball
2448393373_80c011d301#1	boy with plastic bat looking skyward about to throw ball
2448393373_80c011d301#2	little boy plays baseball with himself
2448393373_80c011d301#3	small boy playing in the grass with blue bat and ball
2448393373_80c011d301#4	young boy wearing blue is holding blue baseball bat and holding white ball in his hand
244867897_d00369a779#0	two brown dogs fight over some cloth
244867897_d00369a779#1	two dogs are fighting over plastic bag
244867897_d00369a779#2	two dogs fight over bag on wooden deck
244867897_d00369a779#3	two golden dogs are chewing white cushion on wooden patio
244867897_d00369a779#4	two medium sized light brown dogs are playing tug of war with dish cloth
244870123_dcb6e53643#0	two dogs are tugging at piece of white material
